ID                  Last Name           First Name          Department          Role                Birth Year          Sex                 Salary              Agrees              Unknown Float       

1328                Rothenberger        James               Management          Professor           1990                M                   61781               Yes                 1853.43             
1339                Chin                Roger               Accounting          Professor           1991                M                   59281               Yes                 1778.43             
1247                Parker              Mathew              Accounting          Professor           1974                M                   57892               Yes                 1736.76             
1282                Gao                 Xiaoming            Management          Professor           1982                M                   55829               Yes                 1674.87             
1256                Weaver              Robert              Accounting          Professor           1976                M                   55775               Yes                 1673.25             
1299                Nelson              Dale                Accounting          Professor           1988                M                   54578               Yes                 1637.34             
1285                True                David               Accounting          Professor           1986                M                   53181               Yes                 1595.43             
1259                Nelsen              Beth                Finance             Professor           1977                F                   52339               Yes                 1570.17             
1264                Doepke              Cheryl              Accounting          Professor           1978                F                   52105               Yes                 1563.15             
1311                Smith               Alicia              Accounting          Professor           1989                F                   49955               Yes                 1498.65             
1325                Fitzgerald          Edmond              Management          Associate           1990                M                   48757               Yes                 1462.71             
1268                Lewis               Karl                Management          Associate           1979                M                   48387               Yes                 1451.61             
1290                Stewart             Mark                Accounting          Assistant           1986                M                   47616               Yes                 1428.48             
1270                Downs               Clifton             Accounting          Associate           1982                M                   46887               Yes                 1406.61             
1287                Smythe              Janice              Management          Associate           1986                F                   46887               Yes                 1406.61             
1251                Mikkola             Claudia             Finance             Associate           1976                F                   46281               Yes                 1388.43             
1267                Garafano            Karen               Finance             Associate           1979                F                   46000               Yes                 1380.00             
1318                Halpern             Murray              Finance             Associate           1989                M                   46000               Yes                 1380.00             
1310                Palermo             Sheryl              Accounting          Associate           1988                F                   45617               Yes                 1368.51             
1322                Coats               Bill                Accounting          Assistant           1990                M                   45371               Yes                 1361.13             
1283                Wolter              Christine           Accounting          Associate           1983                F                   44918               Yes                 1347.54             
1263                Comensoli           Angela              Finance             Associate           1978                F                   44212               Yes                 1326.36             
1330                Young               Jeff                Management          Assistant           1990                M                   43513               Yes                 1305.39             
1315                Mack                Kevin               Management          Assistant           1989                M                   42500               Yes                 1275.00             
1288                Bordeau             Katherine           Management          Assistant           1986                F                   42311               Yes                 1269.33             
1358                Lee                 Kell                Finance             Assistant           1994                M                   41000               Yes                 1230.00             
1335                Lu                  Jim                 Accounting          Instructor          1990                M                   38881               No                  0.00                
1350                Blackwell           Dean                Finance             Instructor          1992                M                   37797               No                  0.00                
1313                Scheib              Earl                Management          Instructor          1989                M                   37389               No                  0.00                
1292                Bressette           Cheryl              Accounting          Instructor          1987                F                   36582               No                  0.00                
1294                Ball                Robin               Accounting          Instructor          1987                F                   35723               No                  0.00                
1343                Hill                Trevor              Management          Instructor          1991                M                   35590               No                  0.00                
1302                Neumann             Kenneth             Finance             Instructor          1988                M                   35381               No                  0.00                
1320                McKaye              Susan               Management          Instructor          1989                F                   33979               No                  0.00                
1344                Jackson             Carole              Accounting          Instructor          1992                F                   33781               No                  0.00                
1300                Weeks               Jodie               Finance             Instructor          1988                F                   33052               No                  0.00                
1359                Garabizien          Wendy               Management          Instructor          1994                F                   28500               No                  0.00                
1355                Rais                Mary                Finance             Instructor          1993                F                   27000               No                  0.00                
